product_name,category,energy_kcal_100g,fat_100g,sugars_100g,carbohydrates_100g,serving_size_g,packaging_quantity,source_url
Original,"Lanches comida,Petiscos salgados,Aperitivos,en:Biscuits and crackers,en:Crackers(Appetizers)",482.0,19.0,7.1,67.0,30.0,,https://world.openfoodfacts.org/product/5410041001204
Nutella,"en:breakfasts, en:spreads, en:sweet-spreads, fr:pates-a-tartiner, en:hazelnut-spreads, en:chocolate-spreads, en:cocoa-and-hazelnuts-spreads, en:confectionary-based-spreads",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/3017620429484
nutella,"Breakfasts,Spreads,Sweet spreads,Spreadable fats,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads,Confectionary based spreads,Creme-para-barrar-de-avelã,Creme-para-barrar-de-avelã-e-cacau,Pequenos-alomoços",539.0,30.9,56.3,57.5,15.0,,https://world.openfoodfacts.org/product/59032823
Vegan Bouillon powder reduced salt,"Plant-based foods and beverages, Plant-based foods, Dried products, Dried plant-based foods, Dried products to be rehydrated, Broths, Dehydrated broths, Vegetable broths, Bouillon powders, Dehydrated vegetable bouillons, Vegetable bouillon powders, Groceries",240.0,8.3,4.0,30.8,100.0,,https://world.openfoodfacts.org/product/50160884
Tendre nature,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts",119.0,5.0,9.0,14.3,3.0,,https://world.openfoodfacts.org/product/6111242102781
Tartines craquantes au sarrasin imp,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Extruded crispbreads",388.0,2.8,2.6,75.0,100.0,,https://world.openfoodfacts.org/product/06175700
Pomme 🍏 🍎 Noisette🥜,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits",453.0,17.0,11.0,62.0,100.0,,https://world.openfoodfacts.org/product/3175681851849
Le Beurre Tendre Doux,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Unsalted butters, Sweet cream butters, Butter-82-fat-unsalted-easy-to-spread, fr:Beurres tendres",744.0,82.0,0.8,0.8,10.0,,https://world.openfoodfacts.org/product/3451790988677
Family Pack,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales pour petit déjeuner riches en fibres",362.0,2.0,4.2,69.0,40.0,,https://world.openfoodfacts.org/product/5010029000801
Zarte Haferflocken,"Alimente și băuturi pe bază de plante,Alimente pe bază de plante,en:Breakfasts,Cereale și cartofi,en:Cereals and their products,en:Breakfast cereals,en:Flakes,en:Cereal flakes,en:Extruded flakes,en:Rolled flakes,en:Rolled oats,Cereale",372.0,7.0,0.75,58.8,40.0,,https://world.openfoodfacts.org/product/20003166
Excellence 85% Cacao Rich Dark,"Lanches comida,Lanches doces,Cacau e derivados,Chocolates,Chocolates amargos,en:Dark chocolate bar with more than 70% cocoa,en:Extra fine dark chocolates",584.0,46.0,14.0,22.0,20.0,,https://world.openfoodfacts.org/product/3046920028363
Flocons d'avoine,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats",362.0,7.1,1.7,58.0,60.0,,https://world.openfoodfacts.org/product/3229820019307
Carré Frais,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Fromages,Fromages à la crème,en:fromages-à-la-crème,en:produits-fermentés,en:produits-laitiers-fermentés",85.0,0.3,2.9,4.5,25.0,,https://world.openfoodfacts.org/product/3480341000674
Pringles Original,"Snacks,Snacks salés,Chips de pomme de terre reconstituée",534.0,31.0,1.4,56.0,30.0,,https://world.openfoodfacts.org/product/5053990156009
Nutella,"Breakfasts,Spreads,Sweet spreads,Bread coverings,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",533.0,30.7,56.0,57.3,15.0,,https://world.openfoodfacts.org/product/4008400401621
Ghilal Yaourt zr3,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, en:stirred-yogurts",106.0,3.0,7.5,16.0,3.0,,https://world.openfoodfacts.org/product/6111242102002
Levure de bière,"Condiments,Additifs alimentaires,Levure alimentaire,Levures de bière",323.0,4.6,1.2,12.0,5.0,,https://world.openfoodfacts.org/product/3175680015228
Croustillant Chocolat,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate",433.0,14.0,14.0,62.0,60.0,,https://world.openfoodfacts.org/product/3229820160672
Wholegrain Rye Bread,"plant-based-foods-and-beverages, plant-based-foods, cereals-and-potatoes, breads, rye-breads, de:brote, de:getreide-und-kartoffeln, de:pflanzliche-lebensmittel, pflanzliche-lebensmittel-und-getränke, de:roggenbrote, de:vollkornbrote",210.0,1.8,3.9,38.0,56.0,,https://world.openfoodfacts.org/product/20006105
Nestlé Dessert,"Snacks, Desserts, Sweet snacks, Cocoa and its products, Chocolates, Dark chocolates, Dark chocolate bar, Dark chocolate bar for cooking with more than 40% cocoa",548.0,34.1,46.4,50.7,25.0,,https://world.openfoodfacts.org/product/7613035040823
Petit beurre,"Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Petits beurres, en:Biscuit au beurre, en:Snacks sucrés",427.0,17.5,15.3,60.0,58.0,,https://world.openfoodfacts.org/product/6111259342828
Pains au lait x10,"Snacks,Snacks sucrés,en:Sweet pastries and pies,Viennoiseries,Pains au lait",353.0,11.0,11.0,55.0,35.0,,https://world.openfoodfacts.org/product/3256540000698
Nutella,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",539.0,30.9,56.3,57.2,15.0,,https://world.openfoodfacts.org/product/8000500179864
Chocolat au lait,"snacks, snacks-sucrés, cacao-et-dérivés, chocolats, chocolats-au-lait, tablette-de-chocolat-au-lait, en:cacao-et-dérivés, es:chocolates-con-leche, fr:chocolats, fr:chocolats-au-lait, en:snacks-sucrés",539.0,31.0,55.0,57.0,100.0,,https://world.openfoodfacts.org/product/3045140105502
